,HashId,ProjectName,UpdateAt,TimeToUpdate,CreatedAt,Age,PrimaryLanguage,Stargazers,TotalOfPullRequests,TotalOfReleases,TotalOfIssues,TotalOfClosedIssues,RateOfIssues
0,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,freeCodeCamp/freeCodeCamp,20/10/2022,0,24/12/2014,2857,TypeScript,355914,18483,0,16417,16267,"0,99"
1,MDEwOlJlcG9zaXRvcnkxNzc3MzY1MzM=,996icu/996.ICU,20/10/2022,0,26/03/2019,1304,-,264271,1063,0,0,0,-
2,MDEwOlJlcG9zaXRvcnkxMzQ5MTg5NQ==,EbookFoundation/free-programming-books,20/10/2022,0,11/10/2013,3296,-,252417,5220,0,859,797,"0,93"
3,MDEwOlJlcG9zaXRvcnk2MDQ5MzEwMQ==,jwasham/coding-interview-university,20/10/2022,0,06/06/2016,2327,-,236201,339,0,356,317,"0,89"
4,MDEwOlJlcG9zaXRvcnkyMTczNzQ2NQ==,sindresorhus/awesome,20/10/2022,0,11/07/2014,3023,-,223267,593,0,312,292,"0,94"
5,MDEwOlJlcG9zaXRvcnk4NTA3NzU1OA==,kamranahmedse/developer-roadmap,20/10/2022,0,15/03/2017,2045,TypeScript,215652,1079,0,736,599,"0,81"
6,MDEwOlJlcG9zaXRvcnk1NDM0Njc5OQ==,public-apis/public-apis,20/10/2022,0,20/03/2016,2405,Python,212697,1870,0,409,407,"1,0"
7,MDEwOlJlcG9zaXRvcnk4MzIyMjQ0MQ==,donnemartin/system-design-primer,20/10/2022,0,26/02/2017,2062,Python,200452,193,0,233,68,"0,29"
8,MDEwOlJlcG9zaXRvcnkxMTczMDM0Mg==,vuejs/vue,20/10/2022,0,29/07/2013,3370,TypeScript,200168,1108,10,9898,9555,"0,97"
9,MDEwOlJlcG9zaXRvcnkxMDI3MDI1MA==,facebook/react,20/10/2022,0,24/05/2013,3436,JavaScript,196401,8599,10,11773,10956,"0,93"
10,MDEwOlJlcG9zaXRvcnkxMzI3NTA3MjQ=,codecrafters-io/build-your-own-x,20/10/2022,0,09/05/2018,1625,-,168927,95,0,523,353,"0,67"
11,MDEwOlJlcG9zaXRvcnk0NTcxNzI1MA==,tensorflow/tensorflow,20/10/2022,0,07/11/2015,2539,C++,168505,15247,10,35842,33723,"0,94"
12,MDEwOlJlcG9zaXRvcnkxNDQ0MDI3MA==,getify/You-Dont-Know-JS,20/10/2022,0,16/11/2013,3260,-,160369,355,0,904,823,"0,91"
13,MDEwOlJlcG9zaXRvcnkyMTI2MjQ0,twbs/bootstrap,20/10/2022,0,29/07/2011,4101,JavaScript,160023,7896,10,21568,21307,"0,99"
14,MDEwOlJlcG9zaXRvcnkxMjEzOTU1MTA=,CyC2018/CS-Notes,20/10/2022,0,13/02/2018,1710,-,157745,375,0,553,438,"0,79"
15,MDEwOlJlcG9zaXRvcnkxMjY1NzcyNjA=,trekhleb/javascript-algorithms,20/10/2022,0,24/03/2018,1671,JavaScript,153152,271,0,297,194,"0,65"
16,MDEwOlJlcG9zaXRvcnkyOTExMzc=,ohmyzsh/ohmyzsh,20/10/2022,0,28/08/2009,4801,Shell,151322,2724,0,4293,4053,"0,94"
17,MDEwOlJlcG9zaXRvcnk2MzQ3NjMzNw==,TheAlgorithms/Python,20/10/2022,0,16/07/2016,2287,Python,147214,1963,0,1184,1098,"0,93"
18,MDEwOlJlcG9zaXRvcnkzMTc5MjgyNA==,flutter/flutter,20/10/2022,0,06/03/2015,2785,Dart,145891,27802,0,74397,63325,"0,85"
19,MDEwOlJlcG9zaXRvcnkyMTI4OTExMA==,vinta/awesome-python,20/10/2022,0,27/06/2014,3037,Python,144877,527,0,418,402,"0,96"
20,MDEwOlJlcG9zaXRvcnkyMzI1Mjk4,torvalds/linux,20/10/2022,0,04/09/2011,4064,C,140106,9,0,0,0,-
