,ProjectName,PrimaryLanguage,Stars,TotalOfPullRequests,TotalOfIssues,TotalOfForks,Engagement
0,facebook/react,JavaScript,196463,12789,11778,40717,21761.333333333332
1,twbs/bootstrap,JavaScript,160035,13981,21569,77407,37652.333333333336
2,trekhleb/javascript-algorithms,JavaScript,153197,618,297,25584,8833.0
3,airbnb/javascript,JavaScript,128010,1376,1193,24400,8989.666666666666
4,awesome-selfhosted/awesome-selfhosted,JavaScript,106369,2496,734,6551,3260.3333333333335
5,facebook/react-native,JavaScript,105380,11302,23344,22513,19053.0
6,30-seconds/30-seconds-of-code,JavaScript,103851,1482,277,10836,4198.333333333333
7,d3/d3,JavaScript,103196,1114,2113,23192,8806.333333333334
8,facebook/create-react-app,JavaScript,97623,4067,7878,25441,12462.0
9,axios/axios,JavaScript,96808,1190,3903,9918,5003.666666666667
10,vercel/next.js,JavaScript,94179,13044,13760,20725,15843.0
11,nodejs/node,JavaScript,91077,28545,15111,24540,22732.0
12,mrdoob/three.js,JavaScript,86216,13284,11381,33131,19265.333333333332
13,goldbergyoni/nodebestpractices,JavaScript,82409,881,300,8531,3237.3333333333335
14,mui/material-ui,JavaScript,82132,17597,16521,28300,20806.0
15,ryanmcdermott/clean-code-javascript,JavaScript,73666,260,129,9981,3456.6666666666665
16,FortAwesome/Font-Awesome,JavaScript,70295,654,18575,12189,10472.666666666666
17,typicode/json-server,JavaScript,63894,333,1020,6303,2552.0
18,hakimel/reveal.js,JavaScript,62281,989,2174,16399,6520.666666666667
19,webpack/webpack,JavaScript,61952,5901,9247,8526,7891.333333333333
20,tailwindlabs/tailwindcss,JavaScript,61577,1961,2549,3127,2545.6666666666665
21,angular/angular.js,JavaScript,59368,7999,9040,28224,15087.666666666666
22,expressjs/express,JavaScript,58673,1119,3705,9962,4928.666666666667
23,resume/resume.github.com,JavaScript,58660,181,107,1377,555.0
24,atom/atom,JavaScript,58624,5254,17085,18000,13446.333333333334
25,microsoft/Web-Dev-For-Beginners,JavaScript,58609,620,0,9168,3262.6666666666665
26,chartjs/Chart.js,JavaScript,58515,3570,6593,11658,7273.666666666667
27,adam-p/markdown-here,JavaScript,56994,79,595,11091,3921.6666666666665
28,jquery/jquery,JavaScript,56853,2793,2213,20642,8549.333333333334
29,iptv-org/iptv,JavaScript,56780,5262,3765,9832,6286.333333333333
30,lodash/lodash,JavaScript,54691,1304,4049,6686,4013.0
31,jaywcjlove/awesome-mac,JavaScript,54076,777,331,5538,2215.3333333333335
32,gatsbyjs/gatsby,JavaScript,53681,20817,13662,10456,14978.333333333334
33,h5bp/html5-boilerplate,JavaScript,53479,1519,1281,12112,4970.666666666667
34,leonardomso/33-js-concepts,JavaScript,52325,247,47,7287,2527.0
35,mermaid-js/mermaid,JavaScript,50721,1594,2082,3929,2535.0
36,Semantic-Org/Semantic-UI,JavaScript,50200,876,6194,5107,4059.0
37,azl397985856/leetcode,JavaScript,49634,304,241,9181,3242.0
38,scutan90/DeepLearning-500-questions,JavaScript,49198,338,180,15318,5278.666666666667
39,strapi/strapi,JavaScript,48964,6722,6964,5978,6554.666666666667
40,anuraghazra/github-readme-stats,JavaScript,47265,1199,817,11820,4612.0
41,moment/moment,JavaScript,46989,2014,4001,7109,4374.666666666667
42,NARKOZ/hacker-scripts,JavaScript,45189,142,75,6698,2305.0
43,prettier/prettier,JavaScript,44061,7814,5730,3563,5702.333333333333
44,serverless/serverless,JavaScript,43654,5101,5771,5401,5424.333333333333
45,juliangarnier/anime,JavaScript,43487,152,656,3577,1461.6666666666667
46,meteor/meteor,JavaScript,43093,3282,8780,5221,5761.0
47,ColorlibHQ/AdminLTE,JavaScript,41637,1858,2713,17821,7464.0
48,TryGhost/Ghost,JavaScript,41558,9159,6432,8978,8189.666666666667
49,nuxt/nuxt.js,JavaScript,41476,2979,6831,3301,4370.333333333333
50,parcel-bundler/parcel,JavaScript,41447,2660,4857,2197,3238.0
51,cypress-io/cypress,JavaScript,41258,5781,11616,2588,6661.666666666667
52,iamkun/dayjs,JavaScript,41004,890,1191,2054,1378.3333333333333
53,yarnpkg/yarn,JavaScript,40883,2276,6427,2867,3856.6666666666665
54,mozilla/pdf.js,JavaScript,40261,6988,8569,9047,8201.333333333334
55,algorithm-visualizer/algorithm-visualizer,JavaScript,39283,242,92,6396,2243.3333333333335
56,nwjs/nw.js,JavaScript,39185,813,7130,3965,3969.3333333333335
57,Dogfalo/materialize,JavaScript,38724,1439,5209,4856,3834.6666666666665
58,chinese-poetry/chinese-poetry,JavaScript,38100,140,164,7851,2718.3333333333335
59,Unitech/pm2,JavaScript,37929,836,4623,2484,2647.6666666666665
60,dcloudio/uni-app,JavaScript,37282,308,3614,3362,2428.0
61,typescript-cheatsheets/react,JavaScript,37263,365,178,3286,1276.3333333333333
