,ProjectName,PrimaryLanguage,Stars,TotalOfPullRequests,TotalOfIssues,TotalOfForks,Engagement
0,freeCodeCamp/freeCodeCamp,TypeScript,355953,31169,16423,30162,25918.0
1,kamranahmedse/developer-roadmap,TypeScript,215764,1668,743,31119,11176.666666666666
2,vuejs/vue,TypeScript,200192,2307,9898,32944,15049.666666666666
3,microsoft/vscode,TypeScript,138245,16184,143785,23767,61245.333333333336
4,microsoft/TypeScript,TypeScript,85283,15217,35112,11082,20470.333333333332
5,angular/angular,TypeScript,84423,22404,24455,22373,23077.333333333332
6,ant-design/ant-design,TypeScript,82310,12117,24822,36369,24436.0
7,puppeteer/puppeteer,TypeScript,80396,3421,5594,8682,5899.0
8,yangshun/tech-interview-handbook,TypeScript,79961,338,63,10672,3691.0
9,storybookjs/storybook,TypeScript,74682,8948,9502,7846,8765.333333333334
10,sveltejs/svelte,TypeScript,62794,3152,4643,3066,3620.3333333333335
11,reduxjs/redux,TypeScript,58780,2354,1969,15316,6546.333333333333
12,coder/code-server,TypeScript,57205,1476,3043,4770,3096.3333333333335
13,socketio/socket.io,TypeScript,56892,817,3249,10085,4717.0
14,apache/echarts,TypeScript,53048,1520,16218,19225,12321.0
15,grafana/grafana,TypeScript,51676,29057,26512,10139,21902.666666666668
16,nestjs/nest,TypeScript,51606,5728,4409,6064,5400.333333333333
17,apache/superset,TypeScript,48695,12028,8569,9671,10089.333333333334
18,vitejs/vite,TypeScript,48648,3526,4813,4131,4156.666666666667
19,remix-run/react-router,TypeScript,48532,2514,6662,9520,6232.0
20,ionic-team/ionic-framework,TypeScript,48123,5539,20371,13636,13182.0
21,microsoft/playwright,TypeScript,43661,9978,7320,2102,6466.666666666667
22,babel/babel,TypeScript,41514,6168,8293,5477,6646.0
23,DefinitelyTyped/DefinitelyTyped,TypeScript,41263,53375,7808,28140,29774.333333333332
24,facebook/jest,TypeScript,40533,6312,7090,6104,6502.0
25,supabase/supabase,TypeScript,40026,3565,1515,2477,2519.0
26,vercel/hyper,TypeScript,39478,3149,3582,3298,3343.0
27,Eugeny/tabby,TypeScript,39259,3217,3648,2405,3090.0
28,facebook/docusaurus,TypeScript,39013,5087,2406,5849,4447.333333333333
29,pixijs/pixijs,TypeScript,37779,3276,4958,4654,4296.0
30,styled-components/styled-components,TypeScript,37596,1190,2593,2349,2044.0
31,vuetifyjs/vuetify,TypeScript,35475,4156,11245,6428,7276.333333333333
32,excalidraw/excalidraw,TypeScript,34076,3497,2113,2850,2820.0
33,streamich/react-use,TypeScript,33712,1887,511,2668,1688.6666666666667
34,RocketChat/Rocket.Chat,TypeScript,33601,12098,14639,7675,11470.666666666666
35,vuejs/core,TypeScript,33255,3116,3456,5976,4182.666666666667
36,ant-design/ant-design-pro,TypeScript,33054,1372,8763,7692,5942.333333333333
37,laurent22/joplin,TypeScript,32581,2080,4840,3635,3518.3333333333335
38,immutable-js/immutable-js,TypeScript,32288,693,1212,1853,1252.6666666666667
39,nativefier/nativefier,TypeScript,31890,318,1148,2035,1167.0
